id_unique,affect,heat_peak_kw,heat_peak_kw_foisonnement
C1-1,Installation sportive,51.961258326774264,38.970943745080696
C2-0,Habitat collectif,11.625386344676402,9.300309075741122
H2-3,Administration,23.635501226408103,17.726625919806075
E4-4,Habitat collectif,74.72577641177608,59.780621129420865
E2-5,Ecole,57.112309978751625,42.83423248406372
H3-6,Habitat collectif,45.24062886721306,36.19250309377045
H3-8,Industries,42.14276501186403,37.928488510677624
H3-9,Habitat collectif,56.06749844832359,44.853998758658875
H2-10,Habitat collectif,47.20969478152931,37.767755825223446
H2-11,Habitat collectif,55.41159471893526,44.32927577514821
H4-12,Administration,32.38811536019257,24.29108652014443
H2-13,Industries,16.807464894670456,15.12671840520341
H2-14,Administration,113.2256002585146,84.91920019388596
H2-15,Industries,9.392673529768588,8.453406176791729
H2-16,Administration,34.56999894533099,25.927499208998242
H2-17,Administration,30.457501026192393,22.843125769644296
H2-18,Administration,37.46450584565962,28.098379384244716
H2-19,Habitat collectif,44.420552271602986,35.53644181728239
H2-20,Industries,13.982460594060028,12.584214534654025
H2-21,Administration,64.2253946662529,48.16904599968967
H2-22,Industries,22.839886646816975,20.555897982135278
H2-23,Habitat collectif,42.0983836062757,33.67870688502057
H2-24,Non chauffé,0.0,0.0
H3-25,Habitat collectif,40.41444826202468,32.33155860961974
H4-26,Habitat collectif,40.41444826202468,32.33155860961974
H4-27,Habitat collectif,33.42632728340262,26.7410618267221
H4-28,Habitat collectif,56.06749844832359,44.853998758658875
H4-29,Habitat collectif,46.271408616253105,37.017126893002484
H4-30,Administration,51.3803157330023,38.53523679975172
H4-31,Habitat collectif,37.16260625729769,29.730085005838152
H4-32,Habitat collectif,65.1368263043543,52.10946104348344
H1-33,Administration,43.90906382737061,32.93179787052796
B3-34,Habitat collectif,38.24942969209941,30.59954375367953
A1-35,Industries,41.89522940393408,37.70570646354067
G2-36,Habitat collectif,67.19776170050257,53.758209360402056
D3-37,Administration,156.78091994658186,117.58568995993639
B2-38,Habitat collectif,43.70663208562681,34.96530566850145
B4-39,Administration,101.77567059221946,76.33175294416459
B3-42,Administration,31.673244037045595,23.754933027784197
B2-43,Administration,28.416764627295823,21.312573470471868
B2-44,Habitat collectif,21.823551677893985,17.45884134231519
A2-45,Ecole,38.72373563668357,29.04280172751268
A2-46,Ecole,38.68937562280895,29.017031717106715
A2-47,Ecole,38.68937562280895,29.017031717106715
A2-48,Ecole,47.89660534328886,35.92245400746665
F3-49,Administration,37.61752769650307,28.213145772377302
B1-50,Habitat collectif,36.74613438607383,29.396907508859062
F3-51,Administration,29.245158600313662,21.933868950235247
B1-52,Non chauffé,0.0,0.0
B1-53,Commerce,23.76208620994011,19.00966896795209
G2-54,Habitat collectif,67.19776170050257,53.758209360402056
A3-55,Administration,19.25151170571701,14.438633779287759
F3-56,Habitat collectif,54.791575209485316,43.83326016758826
B3-58,Administration,29.228672188075706,21.92150414105678
B2-59,Habitat collectif,18.310073819803648,14.64805905584292
B2-60,Habitat collectif,31.423512751429538,25.13881020114363
B1-61,Industries,26.015594904383263,23.414035413944937
B1-62,Industries,14.91127213315256,13.420144919837304
A1-63,Non chauffé,0.0,0.0
F4-64,Habitat collectif,36.765359531646006,29.412287625316807
F4-65,Habitat collectif,36.765359531646006,29.412287625316807
F4-66,Habitat collectif,60.94300016253978,48.754400130031826
F4-67,Habitat collectif,60.94300016253978,48.754400130031826
B1-68,Habitat collectif,36.74613438607383,29.396907508859062
B1-69,Habitat collectif,36.74613438607383,29.396907508859062
B1-70,Habitat collectif,46.11647126324912,36.893177010599295
A1-71,Commerce,25.26940743618978,20.215525948951825
A4-72,Administration,35.930393916013934,26.94779543701045
A4-73,Administration,27.02949063283011,20.27211797462258
A4-74,Administration,26.91308425122162,20.184813188416214
A3-75,Habitat collectif,41.673787417912365,33.33902993432989
A3-76,Habitat collectif,21.810844630307905,17.448675704246323
A3-77,Administration,121.38461122577249,91.03845841932937
A3-78,Habitat collectif,39.17848933283172,31.342791466265375
A4-80,Administration,21.02577838607614,15.769333789557106
A4-81,Habitat collectif,14.747838382048384,11.798270705638707
B2-82,Habitat collectif,22.209521408976197,17.76761712718096
B3-83,Habitat collectif,33.145334215772806,26.516267372618245
B3-84,Habitat collectif,21.557832803406683,17.246266242725348
B3-85,Ecole,12.683472200160244,9.512604150120183
B3-86,Habitat collectif,60.964832462737135,48.77186597018971
B3-87,Habitat collectif,35.177231709821655,28.141785367857324
B3-88,Administration,23.084459819207733,17.3133448644058
D1-93,Habitat collectif,48.66598440265793,38.93278752212635
B2-90,Administration,50.34509012516148,37.75881759387111
B2-91,Administration,44.03976824517824,33.02982618388368
B3-92,Administration,51.62324962131498,38.71743721598624
B3-93,Non chauffé,0.0,0.0
A3-94,Administration,47.05386920117087,35.29040190087815
A3-95,Non chauffé,0.0,0.0
E1-98,Administration,58.98183247122084,44.23637435341563
F2-99,Habitat collectif,60.94300016253978,48.754400130031826
F1-100,Administration,49.85463621765236,37.39097716323927
F2-101,Habitat collectif,29.3073332911086,23.44586663288688
F2-103,Administration,33.87859896642437,25.40894922481828
F1-104,Administration,39.81311545203951,29.859836589029634
F2-106,Administration,33.18719898751776,24.89039924063832
F2-107,Ecole,14.482884381354907,10.86216328601618
F2-108,Habitat collectif,15.89971525886666,12.719772207093328
G1-109,Installation sportive,43.21322926174719,32.40992194631039
G1-110,Habitat collectif,60.94300016253978,48.754400130031826
G1-111,Administration,37.61752769650307,28.213145772377302
G1-112,Administration,31.165741571352793,23.374306178514594
G1-113,Administration,42.001118018756664,31.500838514067496
G1-114,Habitat collectif,67.19776170050257,53.758209360402056
F2-115,Habitat collectif,60.94300016253978,48.754400130031826
F2-116,Administration,28.797864868072377,21.598398651054282
G1-117,Habitat collectif,40.41444826202468,32.33155860961974
G1-118,Habitat collectif,33.02908055775094,26.42326444620075
F2-119,Habitat collectif,60.94300016253978,48.754400130031826
A3-120,Administration,67.18882568108403,50.391619260813016
D1-125,Habitat collectif,42.643730180738864,34.11498414459109
G2-122,Habitat collectif,33.02908055775094,26.42326444620075
D1-127,Habitat collectif,49.02766244983707,39.222129959869655
H3-124,Habitat collectif,42.54501784235752,34.03601427388602
H3-125,Administration,25.95195353711068,19.46396515283301
H3-126,Administration,66.060575496731,49.54543162254825
H3-127,Non chauffé,0.0,0.0
G2-128,Administration,48.37435997877116,36.28076998407837
D2-129,Non chauffé,0.0,0.0
E4-130,Administration,11.933323699437814,8.94999277457836
E4-131,Industries,18.414573651510324,16.57311628635929
H3-132,Administration,49.492496054553385,37.11937204091504
F2-133,Commerce,115.88900263408675,92.7112021072694
F2-134,Non chauffé,0.0,0.0
E2-135,Ecole,131.73369751430602,98.80027313572951
E2-136,Ecole,113.53590016694591,85.15192512520943
E2-137,Ecole,99.7614284263322,74.82107131974915
E2-138,Ecole,87.49473069419216,65.62104802064411
E1-139,Administration,29.02789813074046,21.770923598055347
C3-141,Habitat collectif,137.31108558469063,109.84886846775251
C2-142,Habitat collectif,48.02663715786486,38.421309726291895
C2-143,Habitat collectif,55.91283393369366,44.73026714695493
C2-145,Habitat collectif,16.542438624269664,13.233950899415731
C3-146,Habitat collectif,43.3070694872327,34.645655589786166
C2-147,Habitat collectif,15.02913616000873,12.023308928006983
C2-148,Ecole,18.50315322547802,13.877364919108516
A4-152,Administration,143.785822180973,107.83936663572976
A4-153,Administration,227.41329739896673,170.55997304922505
D2-154,Commerce,107.92401228573047,86.33920982858439
B4-155,Industries,338.02333417002944,304.2210007530265
C1-156,Installation sportive,15.373289255063717,11.529966941297788
C1-158,Installation sportive,8.547824208309574,6.410868156232181
C1-160,Installation sportive,9.114284224972897,6.835713168729672
F3-162,Ecole,215.0798142551945,161.30986069139587
A2-168,Ecole,680.9192596666192,510.68944474996437
C2-179,Habitat collectif,39.72999043826098,31.783992350608784
C2-181,Non chauffé,0.0,0.0
C2-183,Non chauffé,0.0,0.0
C2-184,Non chauffé,0.0,0.0
C2-185,Habitat collectif,50.95018094318725,40.7601447545498
C2-186,Habitat collectif,25.197711562183905,20.158169249747125
C2-187,Habitat collectif,45.64128958781219,36.51303167024975
C2-188,Habitat collectif,36.73670784518344,29.389366276146752
C2-189,Habitat collectif,23.050298151334836,18.44023852106787
D1-171,Administration,34.333073465004084,25.749805098753065
D1-2,Ecole,26.58559355200314,19.939195164002356
C2-201,Habitat collectif,55.95832659267816,44.766661274142535
E1-202,Administration,25.778333286896483,19.333749965172363
E2-205,Ecole,6.6587858404754,4.9940893803565505
C2-207,Habitat collectif,52.82517646623687,42.2601411729895
C2-217,Habitat collectif,3.907902833948713,3.1263222671589705
C2-218,Non chauffé,0.0,0.0
C2-219,Habitat collectif,62.615472443482545,50.09237795478604
C2-221,Habitat collectif,81.94920644296829,65.55936515437463
C2-223,Habitat collectif,112.15730293114298,89.72584234491438
F1-224,Administration,115.06770878310513,86.30078158732886
C1-225,Installation sportive,3.2799479252752644,2.4599609439564483
C1-226,Installation sportive,3.2799479252752644,2.4599609439564483
D2-227,Habitat collectif,19.382402211738597,15.505921769390879
D2-228,Habitat collectif,33.02908055775094,26.42326444620075
B2-229,Habitat collectif,13.163796595371286,10.53103727629703
D2-230,Habitat collectif,33.02908055775094,26.42326444620075
D2-231,Administration,34.41635450557396,25.812265879180472
D2-232,Habitat collectif,44.2231275948403,35.37850207587224
A4-233,Administration,28.573391758154493,21.43004381861587
A4-234,Habitat collectif,26.29271873452757,21.034174987622055
D2-235,Administration,42.15270127427579,31.614525955706846
D1-1,Ecole,26.58559355200314,19.939195164002356
A2-237,Ecole,17.961296049834875,13.470972037376157
A2-238,Ecole,8.836788847278918,6.627591635459188
B2-239,Habitat collectif,21.823551677893985,17.45884134231519
B2-240,Habitat collectif,21.823551677893985,17.45884134231519
B3-241,Habitat collectif,31.68755331276428,25.350042650211424
B4-242,Administration,108.32419564903842,81.24314673677881
B3-243,Habitat collectif,27.531007428882035,22.02480594310563
G2-248,Habitat collectif,40.41444826202468,32.33155860961974
G2-249,Habitat collectif,40.41444826202468,32.33155860961974
G2-250,Habitat collectif,67.19776170050257,53.758209360402056
D1-209,Installation sportive,28.249766506466784,21.187324879850088
B2-253,Administration,28.416764627295823,21.312573470471868
E4-254,Administration,33.544909507466116,25.158682130599587
A3-255,Administration,9.597807527912178,7.198355645934133
D1-0,Ecole,26.457982702953526,19.843487027215144
C1-227,Installation sportive,99.41082707345458,74.55812030509094
A3-300,Administration,19.559888323428726,14.669916242571546
