edge,mass_flow_kg_h
"('C1-1', 'connection_C1-1')",4625.0
"('C2-0', 'connection_C2-0')",4625.0
"('H2-3', 'connection_H2-3')",4625.0
"('E4-4', 'connection_E4-4')",4625.0
"('E2-5', 'connection_E2-5')",4625.0
"('H3-6', 'connection_H3-6')",4625.0
"('H3-8', 'connection_H3-8')",4625.0
"('H3-9', 'connection_H3-9')",4625.0
"('H2-10', 'connection_H2-10')",4625.0
"('H2-11', 'connection_H2-11')",4625.0
"('H4-12', 'connection_H4-12')",4625.0
"('H2-13', 'connection_H2-13')",4625.0
"('H2-14', 'connection_H2-14')",4625.0
"('H2-15', 'connection_H2-15')",4625.0
"('H2-16', 'connection_H2-16')",4625.0
"('H2-17', 'connection_H2-17')",4625.0
"('H2-18', 'connection_H2-18')",4625.0
"('H2-19', 'connection_H2-19')",4625.0
"('H2-20', 'connection_H2-20')",4625.0
"('H2-21', 'connection_H2-21')",4625.0
"('H2-22', 'connection_H2-22')",4625.0
"('H2-23', 'connection_H2-23')",4625.0
"('H3-25', 'connection_H3-25')",4625.0
"('H4-26', 'connection_H4-26')",4625.0
"('H4-27', 'connection_H4-27')",4625.0
"('H4-28', 'connection_H4-28')",4625.0
"('H4-29', 'connection_H4-29')",4625.0
"('H4-30', 'connection_H4-30')",4625.0
"('H4-31', 'connection_H4-31')",4625.0
"('H4-32', 'connection_H4-32')",4625.0
"('H1-33', 'connection_H1-33')",4625.0
"('B3-34', 'connection_B3-34')",4625.0
"('A1-35', 'connection_A1-35')",4625.0
"('G2-36', 'connection_G2-36')",4625.0
"('D3-37', 'connection_D3-37')",4625.0
"('B2-38', 'connection_B2-38')",4625.0
"('B4-39', 'connection_B4-39')",4625.0
"('B3-42', 'connection_B3-42')",4625.0
"('B2-43', 'connection_B2-43')",4625.0
"('B2-44', 'connection_B2-44')",4625.0
"('A2-45', 'connection_A2-45')",4625.0
"('A2-46', 'connection_A2-46')",4625.0
"('A2-47', 'connection_A2-47')",4625.0
"('A2-48', 'connection_A2-48')",4625.0
"('F3-49', 'connection_F3-49')",4625.0
"('B1-50', 'connection_B1-50')",4625.0
"('F3-51', 'connection_F3-51')",4625.0
"('B1-53', 'connection_B1-53')",4625.0
"('G2-54', 'connection_G2-54')",4625.0
"('A3-55', 'connection_A3-55')",4625.0
"('F3-56', 'connection_F3-56')",4625.0
"('B3-58', 'connection_B3-58')",4625.0
"('B2-59', 'connection_B2-59')",4625.0
"('B2-60', 'connection_B2-60')",4625.0
"('B1-61', 'connection_B1-61')",4625.0
"('B1-62', 'connection_B1-62')",4625.0
"('F4-64', 'connection_F4-64')",4625.0
"('F4-65', 'connection_F4-65')",4625.0
"('F4-66', 'connection_F4-66')",4625.0
"('F4-67', 'connection_F4-67')",4625.0
"('B1-68', 'connection_B1-68')",4625.0
"('B1-69', 'connection_B1-69')",4625.0
"('B1-70', 'connection_B1-70')",4625.0
"('A1-71', 'connection_A1-71')",4625.0
"('A4-72', 'connection_A4-72')",4625.0
"('A4-73', 'connection_A4-73')",4625.0
"('A4-74', 'connection_A4-74')",4625.0
"('A3-75', 'connection_A3-75')",4625.0
"('A3-76', 'connection_A3-76')",4625.0
"('A3-77', 'connection_A3-77')",4625.0
"('A3-78', 'connection_A3-78')",4625.0
"('A4-80', 'connection_A4-80')",4625.0
"('A4-81', 'connection_A4-81')",4625.0
"('B2-82', 'connection_B2-82')",4625.0
"('B3-83', 'connection_B3-83')",4625.0
"('B3-84', 'connection_B3-84')",4625.0
"('B3-85', 'connection_B3-85')",4625.0
"('B3-86', 'connection_B3-86')",4625.0
"('B3-87', 'connection_B3-87')",4625.0
"('B3-88', 'connection_B3-88')",4625.0
"('D1-93', 'connection_D1-93')",4625.0
"('B2-90', 'connection_B2-90')",4625.0
"('B2-91', 'connection_B2-91')",4625.0
"('B3-92', 'connection_B3-92')",4625.0
"('A3-94', 'connection_A3-94')",4625.0
"('E1-98', 'connection_E1-98')",4625.0
"('F2-99', 'connection_F2-99')",4625.0
"('F1-100', 'connection_F1-100')",4625.0
"('F2-101', 'connection_F2-101')",4625.0
"('F2-103', 'connection_F2-103')",4625.0
"('F1-104', 'connection_F1-104')",4625.0
"('F2-106', 'connection_F2-106')",4625.0
"('F2-107', 'connection_F2-107')",4625.0
"('F2-108', 'connection_F2-108')",4625.0
"('G1-109', 'connection_G1-109')",4625.0
"('G1-110', 'connection_G1-110')",4625.0
"('G1-111', 'connection_G1-111')",4625.0
"('G1-112', 'connection_G1-112')",4625.0
"('G1-113', 'connection_G1-113')",4625.0
"('G1-114', 'connection_G1-114')",4625.0
"('F2-115', 'connection_F2-115')",4625.0
"('F2-116', 'connection_F2-116')",4625.0
"('G1-117', 'connection_G1-117')",4625.0
"('G1-118', 'connection_G1-118')",4625.0
"('F2-119', 'connection_F2-119')",4625.0
"('A3-120', 'connection_A3-120')",4625.0
"('D1-125', 'connection_D1-125')",4625.0
"('G2-122', 'connection_G2-122')",4625.0
"('D1-127', 'connection_D1-127')",4625.0
"('H3-124', 'connection_H3-124')",4625.0
"('H3-125', 'connection_H3-125')",4625.0
"('H3-126', 'connection_H3-126')",4625.0
"('G2-128', 'connection_G2-128')",4625.0
"('E4-130', 'connection_E4-130')",4625.0
"('E4-131', 'connection_E4-131')",4625.0
"('H3-132', 'connection_H3-132')",4625.0
"('F2-133', 'connection_F2-133')",4625.0
"('E2-135', 'connection_E2-135')",4625.0
"('E2-136', 'connection_E2-136')",4625.0
"('E2-137', 'connection_E2-137')",4625.0
"('E2-138', 'connection_E2-138')",4625.0
"('E1-139', 'connection_E1-139')",4625.0
"('C3-141', 'connection_C3-141')",4625.0
"('C2-142', 'connection_C2-142')",4625.0
"('C2-143', 'connection_C2-143')",4625.0
"('C2-145', 'connection_C2-145')",4625.0
"('C3-146', 'connection_C3-146')",4625.0
"('C2-147', 'connection_C2-147')",4625.0
"('C2-148', 'connection_C2-148')",4625.0
"('A4-152', 'connection_A4-152')",4625.0
"('A4-153', 'connection_A4-153')",9980.0
"('D2-154', 'connection_D2-154')",4625.0
"('B4-155', 'connection_B4-155')",9980.0
"('C1-156', 'connection_C1-156')",4625.0
"('C1-158', 'connection_C1-158')",4625.0
"('C1-160', 'connection_C1-160')",4625.0
"('F3-162', 'connection_F3-162')",9980.0
"('A2-168', 'connection_A2-168')",16100.0
"('C2-179', 'connection_C2-179')",4625.0
"('C2-185', 'connection_C2-185')",4625.0
"('C2-186', 'connection_C2-186')",4625.0
"('C2-187', 'connection_C2-187')",4625.0
"('C2-188', 'connection_C2-188')",4625.0
"('C2-189', 'connection_C2-189')",4625.0
"('D1-171', 'connection_D1-171')",4625.0
"('D1-2', 'connection_D1-2')",4625.0
"('C2-201', 'connection_C2-201')",4625.0
"('E1-202', 'connection_E1-202')",4625.0
"('E2-205', 'connection_E2-205')",4625.0
"('C2-207', 'connection_C2-207')",4625.0
"('C2-217', 'connection_C2-217')",4625.0
"('C2-219', 'connection_C2-219')",4625.0
"('C2-221', 'connection_C2-221')",4625.0
"('C2-223', 'connection_C2-223')",4625.0
"('F1-224', 'connection_F1-224')",4625.0
"('C1-225', 'connection_C1-225')",4625.0
"('C1-226', 'connection_C1-226')",4625.0
"('D2-227', 'connection_D2-227')",4625.0
"('D2-228', 'connection_D2-228')",4625.0
"('B2-229', 'connection_B2-229')",4625.0
"('D2-230', 'connection_D2-230')",4625.0
"('D2-231', 'connection_D2-231')",4625.0
"('D2-232', 'connection_D2-232')",4625.0
"('A4-233', 'connection_A4-233')",4625.0
"('A4-234', 'connection_A4-234')",4625.0
"('D2-235', 'connection_D2-235')",4625.0
"('D1-1', 'connection_D1-1')",4625.0
"('A2-237', 'connection_A2-237')",4625.0
"('A2-238', 'connection_A2-238')",4625.0
"('B2-239', 'connection_B2-239')",4625.0
"('B2-240', 'connection_B2-240')",4625.0
"('B3-241', 'connection_B3-241')",4625.0
"('B4-242', 'connection_B4-242')",4625.0
"('B3-243', 'connection_B3-243')",4625.0
"('G2-248', 'connection_G2-248')",4625.0
"('G2-249', 'connection_G2-249')",4625.0
"('G2-250', 'connection_G2-250')",4625.0
"('D1-209', 'connection_D1-209')",4625.0
"('B2-253', 'connection_B2-253')",4625.0
"('E4-254', 'connection_E4-254')",4625.0
"('A3-255', 'connection_A3-255')",4625.0
"('D1-0', 'connection_D1-0')",4625.0
"('C1-227', 'connection_C1-227')",4625.0
"('A3-300', 'connection_A3-300')",4625.0
"('nappe', 'connection_nappe')",62000.0
"('rhone', 'connection_rhone')",138500.0
"('cad', 'connection_cad')",9980.0
"('nappe_ste_marguerite', 'connection_nappe_ste_marguerite')",23750.0
"((2594138.3, 1119501.4), 'connection_G1-111')",4625.0
"((2594138.3, 1119501.4), 'connection_E2-137')",4625.0
"((2594138.3, 1119501.4), 'connection_E2-138')",9980.0
"((2594047.4, 1119480.0), 'connection_F2-103')",4625.0
"((2594047.4, 1119480.0), 'connection_E2-135')",4625.0
"((2594047.4, 1119480.0), 'connection_E2-138')",4625.0
"((2594613.9, 1119706.4), 'connection_cad')",253250.0
"((2594569.3, 1119620.5), 'connection_H4-12')",9980.0
"((2594569.3, 1119620.5), 'connection_E4-130')",9980.0
"((2594518.7, 1119591.2), (2594518.7, 1119591.2))",291500.0
"((2594518.7, 1119591.2), 'connection_E4-4')",4625.0
"((2594518.7, 1119591.2), 'connection_H4-31')",9980.0
"((2594518.7, 1119591.2), 'connection_E4-254')",9980.0
"((2594331.1, 1119546.9), (2594375.1, 1119468.7))",16100.0
"((2594331.1, 1119546.9), 'connection_E2-5')",4625.0
"((2594331.1, 1119546.9), 'connection_G1-112')",9980.0
"((2593768.0, 1119465.8), (2593753.3, 1119516.9))",4625.0
"((2593768.0, 1119465.8), (2593768.0, 1119465.8))",23750.0
"((2593768.0, 1119465.8), 'connection_C2-143')",4625.0
"((2593768.0, 1119465.8), 'connection_C2-147')",4625.0
"((2593886.1, 1119441.9), (2593890.6, 1119399.2))",4625.0
"((2593886.1, 1119441.9), 'connection_E1-139')",9980.0
"((2593886.1, 1119441.9), 'connection_C3-141')",16100.0
"((2593781.9, 1119417.3), 'connection_C2-145')",4625.0
"((2593781.9, 1119417.3), 'connection_C3-146')",9980.0
"((2594224.7, 1119521.8), 'connection_G1-113')",4625.0
"((2594224.7, 1119521.8), 'connection_E2-136')",4625.0
"((2594224.7, 1119521.8), 'connection_E2-137')",4625.0
"((2593960.9, 1119459.5), 'connection_E1-139')",9980.0
"((2593960.9, 1119459.5), 'connection_E1-202')",4625.0
"((2593960.9, 1119459.5), 'connection_F1-224')",4625.0
"((2594313.4, 1119422.7), (2594313.4, 1119422.7))",291500.0
"((2594313.4, 1119422.7), 'connection_H3-8')",4625.0
"((2594313.4, 1119422.7), 'connection_G2-36')",4625.0
"((2594313.4, 1119422.7), 'connection_G2-122')",4625.0
"((2594175.6, 1119319.8), (2594138.3, 1119292.6))",4625.0
"((2594175.6, 1119319.8), 'connection_H3-126')",4625.0
"((2594138.3, 1119292.6), (2594138.3, 1119292.6))",253250.0
"((2594138.3, 1119292.6), (2594139.8, 1119360.9))",62000.0
"((2594138.3, 1119292.6), 'connection_H2-19')",81125.0
"((2594138.3, 1119292.6), 'connection_F4-67')",23750.0
"((2594017.7, 1119204.6), 'connection_H2-16')",16100.0
"((2594017.7, 1119204.6), 'connection_F3-56')",16100.0
"((2593980.7, 1119183.5), (2593991.2, 1119156.5))",35225.0
"((2593980.7, 1119183.5), 'connection_F3-49')",46700.0
"((2593980.7, 1119183.5), 'connection_F3-56')",16100.0
"((2594494.5, 1119557.8), 'connection_H4-31')",4625.0
"((2594494.5, 1119557.8), 'connection_H4-32')",4625.0
"((2594443.2, 1119519.5), 'connection_H4-27')",4625.0
"((2594443.2, 1119519.5), 'connection_G2-248')",4625.0
"((2594443.2, 1119519.5), 'connection_G2-249')",4625.0
"((2594375.1, 1119468.7), (2594374.8, 1119468.4))",16100.0
"((2594375.1, 1119468.7), 'connection_G2-250')",4625.0
"((2594374.8, 1119468.4), 'connection_H3-25')",16100.0
"((2594374.8, 1119468.4), 'connection_G2-54')",4625.0
"((2593908.6, 1119142.1), (2593905.8, 1119140.5))",23750.0
"((2593908.6, 1119142.1), 'connection_H1-33')",46700.0
"((2593908.6, 1119142.1), 'connection_D2-231')",35225.0
"((2593905.8, 1119140.5), 'connection_D2-227')",23750.0
"((2593809.3, 1119093.9), (2593722.6, 1119052.0))",9980.0
"((2593809.3, 1119093.9), 'connection_D3-37')",16100.0
"((2593809.3, 1119093.9), 'connection_D2-235')",9980.0
"((2593722.6, 1119052.0), (2593610.4, 1119023.6))",16100.0
"((2593610.4, 1119023.6), (2593590.2, 1119103.0))",4625.0
"((2593610.4, 1119023.6), 'connection_B4-242')",9980.0
"((2593487.3, 1118992.4), (2593462.0, 1118986.0))",4625.0
"((2593487.3, 1118992.4), 'connection_B4-39')",9980.0
"((2593487.3, 1118992.4), 'connection_B4-242')",4625.0
"((2593462.0, 1118986.0), 'connection_B3-92')",4625.0
"((2593380.9, 1118966.2), 'connection_B3-83')",4625.0
"((2593380.9, 1118966.2), 'connection_B2-90')",4625.0
"((2593380.9, 1118966.2), 'connection_B3-92')",4625.0
"((2593312.2, 1118949.4), 'connection_B2-82')",4625.0
"((2593312.2, 1118949.4), 'connection_B2-90')",9980.0
"((2593312.2, 1118949.4), 'connection_B2-91')",9980.0
"((2593273.5, 1118939.9), (2593250.4, 1118938.6))",9980.0
"((2593273.5, 1118939.9), 'connection_B2-91')",9980.0
"((2593250.4, 1118938.6), (2593184.2, 1118934.7))",4625.0
"((2593250.4, 1118938.6), 'connection_B2-59')",4625.0
"((2593120.7, 1118931.1), (2593071.5, 1118928.2))",4625.0
"((2593120.7, 1118931.1), 'connection_B1-61')",4625.0
"((2593120.7, 1118931.1), 'connection_B1-62')",9980.0
"((2593184.2, 1118934.7), 'connection_B1-50')",4625.0
"((2593184.2, 1118934.7), 'connection_B1-61')",4625.0
"((2594480.4, 1119471.3), 'connection_H4-26')",4625.0
"((2594436.2, 1119392.4), 'connection_nappe_ste_marguerite')",4625.0
"((2594365.2, 1119353.3), 'connection_H3-6')",81125.0
"((2594153.9, 1119267.4), 'connection_H2-3')",9980.0
"((2594153.9, 1119267.4), 'connection_H2-19')",81125.0
"((2594153.9, 1119267.4), 'connection_H2-21')",100250.0
